Logger: #E50A33 'PT1000TEMP' - USP_EXP2 - (CGI) Expander for GP5W - (V2.60, Mai 12 2013),,
No,Time,#1:oC,#HK-Bat:V
127,05.05.2015 17:00:00,21.7278,
128,05.05.2015 18:00:00,21.6503,3.668
129,05.05.2015 19:00:00,21.5682,
130,05.05.2015 20:00:00,21.5113,
131,05.05.2015 21:00:00,21.4307,
132,05.05.2015 22:00:00,21.3746,
133,05.05.2015 23:00:00,21.2984,
134,06.05.2015 00:00:00,21.2266,3.667
135,06.05.2015 01:00:00,21.1856,
136,06.05.2015 02:00:00,21.1391,
137,06.05.2015 03:00:00,21.0859,
138,06.05.2015 04:00:00,21.0378,
139,06.05.2015 05:00:00,20.9889,
140,06.05.2015 06:00:00,20.9425,3.666
141,06.05.2015 07:00:00,20.8943,
142,06.05.2015 08:00:00,20.8501,
143,06.05.2015 09:00:00,20.7446,
144,06.05.2015 10:00:00,20.6891,
145,06.05.2015 11:00:00,20.6821,
146,06.05.2015 12:00:00,20.9258,3.664
147,06.05.2015 13:00:00,21.0626,
148,06.05.2015 14:00:00,21.1566,
149,06.05.2015 15:00:00,21.18,
150,06.05.2015 16:00:00,21.1734,
151,06.05.2015 17:00:00,21.2248,
152,06.05.2015 18:00:00,21.196,3.667
153,06.05.2015 19:00:00,21.1431,
154,06.05.2015 20:00:00,21.1032,
155,06.05.2015 21:00:00,21.0418,
156,06.05.2015 22:00:00,20.9809,
157,06.05.2015 23:00:00,20.9253,
158,07.05.2015 00:00:00,20.877,3.665
159,07.05.2015 01:00:00,20.8253,
160,07.05.2015 02:00:00,20.7788,
161,07.05.2015 03:00:00,20.7397,
162,07.05.2015 04:00:00,20.6858,
163,07.05.2015 05:00:00,20.6505,
164,07.05.2015 06:00:00,20.6073,3.664
165,07.05.2015 07:00:00,20.5508,
166,07.05.2015 08:00:00,20.5303,
167,07.05.2015 09:00:00,20.5198,
168,07.05.2015 10:00:00,20.3951,
169,07.05.2015 11:00:00,20.4172,
170,07.05.2015 12:00:00,20.4599,3.662
171,07.05.2015 13:00:00,20.5245,
172,07.05.2015 14:00:00,20.5743,
173,07.05.2015 15:00:00,20.7111,
174,07.05.2015 16:00:00,20.7504,
175,07.05.2015 17:00:00,20.7175,
176,07.05.2015 18:00:00,20.666,3.664
177,07.05.2015 19:00:00,20.6119,
178,07.05.2015 20:00:00,20.5598,
179,07.05.2015 21:00:00,20.4943,
180,07.05.2015 22:00:00,20.4313,
181,07.05.2015 23:00:00,20.3765,
182,08.05.2015 00:00:00,20.3156,3.664
183,08.05.2015 01:00:00,20.2796,
184,08.05.2015 02:00:00,20.239,
185,08.05.2015 03:00:00,20.2028,
186,08.05.2015 04:00:00,20.1654,
187,08.05.2015 05:00:00,20.1122,
188,08.05.2015 06:00:00,20.0791,3.659
189,08.05.2015 07:00:00,20.0428,
190,08.05.2015 08:00:00,20.0209,
191,08.05.2015 09:00:00,19.9546,
192,08.05.2015 10:00:00,19.8929,
193,08.05.2015 11:00:00,20.1728,
194,08.05.2015 12:00:00,20.1305,3.66
195,08.05.2015 13:00:00,20.2158,
196,08.05.2015 14:00:00,20.2882,
197,08.05.2015 15:00:00,20.4248,
198,08.05.2015 16:00:00,20.5608,
199,08.05.2015 17:00:00,20.6168,
200,08.05.2015 18:00:00,20.5776,3.662
201,08.05.2015 19:00:00,20.5327,
202,08.05.2015 20:00:00,20.5056,
203,08.05.2015 21:00:00,20.456,
204,08.05.2015 22:00:00,20.4264,
205,08.05.2015 23:00:00,20.3999,
206,09.05.2015 00:00:00,20.361,3.661
207,09.05.2015 01:00:00,20.3235,
208,09.05.2015 02:00:00,20.2911,
209,09.05.2015 03:00:00,20.2527,
210,09.05.2015 04:00:00,20.2187,
211,09.05.2015 05:00:00,20.1857,
212,09.05.2015 06:00:00,20.1481,3.66
213,09.05.2015 07:00:00,20.1205,
214,09.05.2015 08:00:00,20.1074,
215,09.05.2015 09:00:00,20.1086,
216,09.05.2015 10:00:00,20.1506,
217,09.05.2015 11:00:00,20.1255,
218,09.05.2015 12:00:00,20.1153,3.658
219,09.05.2015 13:00:00,20.1554,
220,09.05.2015 14:00:00,20.1647,
221,09.05.2015 15:00:00,20.2066,
222,09.05.2015 16:00:00,20.2466,
223,09.05.2015 17:00:00,20.2611,
224,09.05.2015 18:00:00,20.2544,3.661
225,09.05.2015 19:00:00,20.2511,
226,09.05.2015 20:00:00,20.2319,
227,09.05.2015 21:00:00,20.2077,
228,09.05.2015 22:00:00,20.1668,
229,09.05.2015 23:00:00,20.1359,
230,10.05.2015 00:00:00,20.0967,3.657
231,10.05.2015 01:00:00,20.0627,
232,10.05.2015 02:00:00,20.0184,
233,10.05.2015 03:00:00,20.0091,
234,10.05.2015 04:00:00,19.9821,
235,10.05.2015 05:00:00,19.9555,
236,10.05.2015 06:00:00,19.933,3.658
237,10.05.2015 07:00:00,19.9255,
238,10.05.2015 08:00:00,19.9029,
239,10.05.2015 09:00:00,19.8854,
240,10.05.2015 10:00:00,19.8994,
241,10.05.2015 11:00:00,19.9339,
242,10.05.2015 12:00:00,19.9732,3.659
243,10.05.2015 13:00:00,20.0307,
244,10.05.2015 14:00:00,20.1287,
245,10.05.2015 15:00:00,20.2041,
246,10.05.2015 16:00:00,20.2728,
247,10.05.2015 17:00:00,20.285,
248,10.05.2015 18:00:00,20.2989,3.659
249,10.05.2015 19:00:00,20.2869,
250,10.05.2015 20:00:00,20.2772,
251,10.05.2015 21:00:00,20.2609,
252,10.05.2015 22:00:00,20.3043,
253,10.05.2015 23:00:00,20.3474,
254,11.05.2015 00:00:00,20.287,3.659
255,11.05.2015 01:00:00,20.2512,
256,11.05.2015 02:00:00,20.224,
257,11.05.2015 03:00:00,20.1834,
258,11.05.2015 04:00:00,20.1631,
259,11.05.2015 05:00:00,20.1284,
260,11.05.2015 06:00:00,20.0925,3.659
261,11.05.2015 07:00:00,20.0661,
262,11.05.2015 08:00:00,20.0138,
263,11.05.2015 09:00:00,20.042,
264,11.05.2015 10:00:00,20.1042,
265,11.05.2015 11:00:00,20.8173,
266,11.05.2015 12:00:00,21.0946,3.662
267,11.05.2015 13:00:00,20.9495,
268,11.05.2015 14:00:00,20.9616,
269,11.05.2015 15:00:00,21.506,
270,11.05.2015 16:00:00,21.5316,
271,11.05.2015 17:00:00,21.4978,
272,11.05.2015 18:00:00,21.4901,3.662
273,11.05.2015 19:00:00,21.4323,
274,11.05.2015 20:00:00,21.355,
275,11.05.2015 21:00:00,21.2807,
276,11.05.2015 22:00:00,21.194,
277,11.05.2015 23:00:00,21.1077,
278,12.05.2015 00:00:00,20.9859,3.663
279,12.05.2015 01:00:00,20.8938,
280,12.05.2015 02:00:00,20.7981,
281,12.05.2015 03:00:00,20.7155,
282,12.05.2015 04:00:00,20.6293,
283,12.05.2015 05:00:00,20.5474,
284,12.05.2015 06:00:00,20.4855,3.658
285,12.05.2015 07:00:00,20.4153,
286,12.05.2015 08:00:00,20.3563,
