Logger: #E50A33 'PT1000TEMP' - USP_EXP2 - (CGI) Expander for GP5W - (V2.60, Mai 12 2013),,
No,Time,#1:oC,#HK-Bat:V
1612,24.06.2015 05:20:00,21.3424,
1613,24.06.2015 05:40:00,21.4349,
1614,24.06.2015 06:00:00,21.5294,
1615,24.06.2015 06:20:00,21.6193,
1616,24.06.2015 06:40:00,21.708,
1617,24.06.2015 07:00:00,21.78,
1618,24.06.2015 07:20:00,21.845,
1619,24.06.2015 07:40:00,21.9212,
1620,24.06.2015 08:00:00,21.9926,
1621,24.06.2015 08:20:00,22.0518,
1622,24.06.2015 08:40:00,22.1102,
1623,24.06.2015 09:00:00,22.1733,
1624,24.06.2015 09:20:00,22.2108,
1625,24.06.2015 09:40:00,22.2721,
1626,24.06.2015 10:00:00,22.3157,
1627,24.06.2015 10:20:00,22.3619,
1628,24.06.2015 10:40:00,22.4188,
1629,24.06.2015 11:00:00,22.4521,
1630,24.06.2015 11:20:00,22.489,
1631,24.06.2015 11:40:00,22.5208,
1632,24.06.2015 12:00:00,22.5564,
1633,24.06.2015 12:20:00,22.409,
1634,24.06.2015 12:40:00,22.3405,
1635,24.06.2015 13:00:00,22.3383,3.659
1636,24.06.2015 13:20:00,22.2754,
1637,24.06.2015 13:40:00,22.1644,
1638,24.06.2015 14:00:00,22.0762,
1639,24.06.2015 14:20:00,21.9343,
1640,24.06.2015 14:40:00,21.8292,
1641,24.06.2015 15:00:00,21.7257,
1642,24.06.2015 15:20:00,21.6,
1643,24.06.2015 15:40:00,21.4501,
1644,24.06.2015 16:00:00,21.1873,
1645,24.06.2015 16:20:00,21.3349,
1646,24.06.2015 16:40:00,21.5548,
1647,24.06.2015 17:00:00,21.626,
1648,24.06.2015 17:20:00,21.663,
1649,24.06.2015 17:40:00,21.7091,
1650,24.06.2015 18:00:00,21.7722,
1651,24.06.2015 18:20:00,21.8256,
1652,24.06.2015 18:40:00,21.8937,
1653,24.06.2015 19:00:00,21.9571,
1654,24.06.2015 19:20:00,22.0099,
1655,24.06.2015 19:40:00,22.0752,
1656,24.06.2015 20:00:00,22.1346,
1657,24.06.2015 20:20:00,22.184,
1658,24.06.2015 20:40:00,22.2438,
1659,24.06.2015 21:00:00,22.2979,3.655
1660,24.06.2015 21:20:00,22.3641,
1661,24.06.2015 21:40:00,22.4109,
1662,24.06.2015 22:00:00,22.4653,
1663,24.06.2015 22:20:00,22.5173,
1664,24.06.2015 22:40:00,22.5694,
1665,24.06.2015 23:00:00,22.6305,
1666,24.06.2015 23:20:00,22.7001,
1667,24.06.2015 23:40:00,22.7682,
1668,25.06.2015 00:00:00,22.846,
1669,25.06.2015 00:20:00,22.9165,
1670,25.06.2015 00:40:00,22.9899,
1671,25.06.2015 01:00:00,23.0666,
1672,25.06.2015 01:20:00,23.1274,
1673,25.06.2015 01:40:00,23.2076,
1674,25.06.2015 02:00:00,23.2986,
1675,25.06.2015 02:20:00,23.397,
1676,25.06.2015 02:40:00,23.4804,
1677,25.06.2015 03:00:00,23.5561,
1678,25.06.2015 03:20:00,23.6505,
1679,25.06.2015 03:40:00,23.714,
1680,25.06.2015 04:00:00,23.7893,
1681,25.06.2015 04:20:00,23.8558,
1682,25.06.2015 04:40:00,23.9341,
1683,25.06.2015 05:00:00,23.9905,3.66
1684,25.06.2015 05:20:00,24.0763,
1685,25.06.2015 05:40:00,24.1231,
1686,25.06.2015 06:00:00,24.1734,
1687,25.06.2015 06:20:00,24.2458,
1688,25.06.2015 06:40:00,24.3004,
1689,25.06.2015 07:00:00,24.3504,
1690,25.06.2015 07:20:00,24.3939,
1691,25.06.2015 07:40:00,24.4375,
1692,25.06.2015 08:00:00,24.4738,
1693,25.06.2015 08:20:00,24.5039,
1694,25.06.2015 08:40:00,24.5428,
1695,25.06.2015 09:00:00,24.5579,
1696,25.06.2015 09:20:00,24.5794,
1697,25.06.2015 09:40:00,24.6045,
1698,25.06.2015 10:00:00,24.6286,
1699,25.06.2015 10:20:00,24.652,
1700,25.06.2015 10:40:00,24.6594,
1701,25.06.2015 11:00:00,24.6762,
1702,25.06.2015 11:20:00,24.684,
1703,25.06.2015 11:40:00,24.6984,
1704,25.06.2015 12:00:00,24.6981,
1705,25.06.2015 12:20:00,24.7155,
1706,25.06.2015 12:40:00,24.7215,
1707,25.06.2015 13:00:00,24.728,3.667
1708,25.06.2015 13:20:00,24.737,
1709,25.06.2015 13:40:00,24.737,
1710,25.06.2015 14:00:00,24.7451,
1711,25.06.2015 14:20:00,24.7555,
1712,25.06.2015 14:40:00,24.784,
1713,25.06.2015 15:00:00,24.8051,
1714,25.06.2015 15:20:00,24.8398,
1715,25.06.2015 15:40:00,24.8535,
1716,25.06.2015 16:00:00,24.8579,
1717,25.06.2015 16:20:00,24.8662,
1718,25.06.2015 16:40:00,24.8818,
1719,25.06.2015 17:00:00,24.8822,
1720,25.06.2015 17:20:00,24.8895,
1721,25.06.2015 17:40:00,24.9032,
1722,25.06.2015 18:00:00,24.917,
1723,25.06.2015 18:20:00,24.9262,
1724,25.06.2015 18:40:00,24.9404,
1725,25.06.2015 19:00:00,24.9485,
1726,25.06.2015 19:20:00,24.9629,
1727,25.06.2015 19:40:00,24.9719,
1728,25.06.2015 20:00:00,24.9811,
1729,25.06.2015 20:20:00,24.9938,
1730,25.06.2015 20:40:00,25.0068,
1731,25.06.2015 21:00:00,25.0241,3.668
1732,25.06.2015 21:20:00,25.0234,
1733,25.06.2015 21:40:00,25.0304,
1734,25.06.2015 22:00:00,25.0428,
1735,25.06.2015 22:20:00,25.0534,
1736,25.06.2015 22:40:00,25.0679,
1737,25.06.2015 23:00:00,25.0822,
1738,25.06.2015 23:20:00,25.1103,
1739,25.06.2015 23:40:00,25.1099,
1740,26.06.2015 00:00:00,25.1389,
1741,26.06.2015 00:20:00,25.153,
1742,26.06.2015 00:40:00,25.1702,
1743,26.06.2015 01:00:00,25.2021,
1744,26.06.2015 01:20:00,25.2367,
1745,26.06.2015 01:40:00,25.2846,
1746,26.06.2015 02:00:00,25.3393,
1747,26.06.2015 02:20:00,25.3827,
1748,26.06.2015 02:40:00,25.4361,
1749,26.06.2015 03:00:00,25.4847,
1750,26.06.2015 03:20:00,25.5172,
1751,26.06.2015 03:40:00,25.5528,
1752,26.06.2015 04:00:00,25.5782,
1753,26.06.2015 04:20:00,25.5994,
1754,26.06.2015 04:40:00,25.6232,
1755,26.06.2015 05:00:00,25.6362,3.67
1756,26.06.2015 05:20:00,25.6497,
1757,26.06.2015 05:40:00,25.6642,
1758,26.06.2015 06:00:00,25.6768,
1759,26.06.2015 06:20:00,25.6934,
1760,26.06.2015 06:40:00,25.7005,
1761,26.06.2015 07:00:00,25.7092,
1762,26.06.2015 07:20:00,25.7122,
1763,26.06.2015 07:40:00,25.7173,
1764,26.06.2015 08:00:00,25.7315,
1765,26.06.2015 08:20:00,25.7384,
1766,26.06.2015 08:40:00,25.7362,
1767,26.06.2015 09:00:00,25.7433,
1768,26.06.2015 09:20:00,25.7418,
1769,26.06.2015 09:40:00,25.7422,
1770,26.06.2015 10:00:00,25.7431,
1771,26.06.2015 10:20:00,25.7465,
1772,26.06.2015 10:40:00,25.7459,
1773,26.06.2015 11:00:00,25.749,
1774,26.06.2015 11:20:00,25.7496,
1775,26.06.2015 11:40:00,25.7481,
1776,26.06.2015 12:00:00,25.7393,
1777,26.06.2015 12:20:00,25.7439,
1778,26.06.2015 12:40:00,25.7403,
1779,26.06.2015 13:00:00,25.7321,3.671
1780,26.06.2015 13:20:00,25.7319,
1781,26.06.2015 13:40:00,25.7336,
1782,26.06.2015 14:00:00,25.727,
1783,26.06.2015 14:20:00,25.7346,
1784,26.06.2015 14:40:00,25.7459,
1785,26.06.2015 15:00:00,25.7571,
1786,26.06.2015 15:20:00,25.771,
1787,26.06.2015 15:40:00,25.7778,
1788,26.06.2015 16:00:00,25.7834,
1789,26.06.2015 16:20:00,25.7963,
1790,26.06.2015 16:40:00,25.8035,
1791,26.06.2015 17:00:00,25.8066,
1792,26.06.2015 17:20:00,25.8029,
1793,26.06.2015 17:40:00,25.8164,
1794,26.06.2015 18:00:00,25.822,
1795,26.06.2015 18:20:00,25.8443,
1796,26.06.2015 18:40:00,25.8517,
1797,26.06.2015 19:00:00,25.8713,
1798,26.06.2015 19:20:00,25.8889,
1799,26.06.2015 19:40:00,25.8951,
1800,26.06.2015 20:00:00,25.9112,
1801,26.06.2015 20:20:00,25.9235,
1802,26.06.2015 20:40:00,25.9358,
1803,26.06.2015 21:00:00,25.9467,3.67
1804,26.06.2015 21:20:00,25.9763,
1805,26.06.2015 21:40:00,25.9827,
1806,26.06.2015 22:00:00,26.0046,
1807,26.06.2015 22:20:00,26.016,
1808,26.06.2015 22:40:00,26.0289,
1809,26.06.2015 23:00:00,26.0436,
1810,26.06.2015 23:20:00,26.0666,
1811,26.06.2015 23:40:00,26.087,
1812,27.06.2015 00:00:00,26.1002,
1813,27.06.2015 00:20:00,26.1289,
1814,27.06.2015 00:40:00,26.1382,
1815,27.06.2015 01:00:00,26.1687,
1816,27.06.2015 01:20:00,26.1974,
1817,27.06.2015 01:40:00,26.2232,
1818,27.06.2015 02:00:00,26.2511,
1819,27.06.2015 02:20:00,26.2829,
1820,27.06.2015 02:40:00,26.315,
1821,27.06.2015 03:00:00,26.3417,
1822,27.06.2015 03:20:00,26.3644,
1823,27.06.2015 03:40:00,26.3902,
1824,27.06.2015 04:00:00,26.4076,
1825,27.06.2015 04:20:00,26.4214,
1826,27.06.2015 04:40:00,26.4333,
1827,27.06.2015 05:00:00,26.45,3.674
1828,27.06.2015 05:20:00,26.462,
1829,27.06.2015 05:40:00,26.4673,
1830,27.06.2015 06:00:00,26.4655,
1831,27.06.2015 06:20:00,26.473,
1832,27.06.2015 06:40:00,26.4695,
1833,27.06.2015 07:00:00,26.4591,
1834,27.06.2015 07:20:00,26.4571,
1835,27.06.2015 07:40:00,26.4589,
1836,27.06.2015 08:00:00,26.4527,
1837,27.06.2015 08:20:00,26.4558,
1838,27.06.2015 08:40:00,26.4478,
1839,27.06.2015 09:00:00,26.4374,
1840,27.06.2015 09:20:00,26.4324,
1841,27.06.2015 09:40:00,26.4341,
1842,27.06.2015 10:00:00,26.424,
1843,27.06.2015 10:20:00,26.4344,
1844,27.06.2015 10:40:00,26.4276,
1845,27.06.2015 11:00:00,26.4207,
1846,27.06.2015 11:20:00,26.408,
1847,27.06.2015 11:40:00,26.4027,
1848,27.06.2015 12:00:00,26.3876,
1849,27.06.2015 12:20:00,26.3857,
1850,27.06.2015 12:40:00,26.3793,
1851,27.06.2015 13:00:00,26.3726,3.676
1852,27.06.2015 13:20:00,26.3629,
1853,27.06.2015 13:40:00,26.3592,
1854,27.06.2015 14:00:00,26.3425,
1855,27.06.2015 14:20:00,26.3327,
1856,27.06.2015 14:40:00,26.3334,
1857,27.06.2015 15:00:00,26.3392,
1858,27.06.2015 15:20:00,26.3328,
1859,27.06.2015 15:40:00,26.3411,
1860,27.06.2015 16:00:00,26.3401,
1861,27.06.2015 16:20:00,26.3381,
1862,27.06.2015 16:40:00,26.3503,
1863,27.06.2015 17:00:00,26.3385,
1864,27.06.2015 17:20:00,26.3441,
1865,27.06.2015 17:40:00,26.3446,
1866,27.06.2015 18:00:00,26.3358,
1867,27.06.2015 18:20:00,26.3397,
1868,27.06.2015 18:40:00,26.3306,
1869,27.06.2015 19:00:00,26.3465,
1870,27.06.2015 19:20:00,26.3418,
1871,27.06.2015 19:40:00,26.3403,
1872,27.06.2015 20:00:00,26.3609,
1873,27.06.2015 20:20:00,26.3686,
1874,27.06.2015 20:40:00,26.3793,
1875,27.06.2015 21:00:00,26.3857,3.674
1876,27.06.2015 21:20:00,26.3923,
1877,27.06.2015 21:40:00,26.4049,
1878,27.06.2015 22:00:00,26.4151,
1879,27.06.2015 22:20:00,26.4338,
1880,27.06.2015 22:40:00,26.4495,
1881,27.06.2015 23:00:00,26.4783,
1882,27.06.2015 23:20:00,26.5151,
1883,27.06.2015 23:40:00,26.5396,
1884,28.06.2015 00:00:00,26.5667,
1885,28.06.2015 00:20:00,26.5978,
1886,28.06.2015 00:40:00,26.6175,
1887,28.06.2015 01:00:00,26.6411,
1888,28.06.2015 01:20:00,26.7646,
1889,28.06.2015 01:40:00,26.7795,
1890,28.06.2015 02:00:00,26.7921,
1891,28.06.2015 02:20:00,26.8032,
1892,28.06.2015 02:40:00,26.8154,
1893,28.06.2015 03:00:00,26.8264,
1894,28.06.2015 03:20:00,26.8389,
1895,28.06.2015 03:40:00,26.8589,
1896,28.06.2015 04:00:00,26.8714,
1897,28.06.2015 04:20:00,26.8865,
1898,28.06.2015 04:40:00,26.8995,
1899,28.06.2015 05:00:00,26.9081,3.674
1900,28.06.2015 05:20:00,26.9065,
1901,28.06.2015 05:40:00,26.9194,
1902,28.06.2015 06:00:00,26.9261,
1903,28.06.2015 06:20:00,26.9277,
1904,28.06.2015 06:40:00,26.9349,
1905,28.06.2015 07:00:00,26.9391,
1906,28.06.2015 07:20:00,26.9401,
1907,28.06.2015 07:40:00,26.9411,
1908,28.06.2015 08:00:00,26.9481,
1909,28.06.2015 08:20:00,26.9451,
1910,28.06.2015 08:40:00,26.9495,
1911,28.06.2015 09:00:00,26.9409,
1912,28.06.2015 09:20:00,26.9376,
1913,28.06.2015 09:40:00,26.9441,
1914,28.06.2015 10:00:00,26.9352,
1915,28.06.2015 10:20:00,26.9305,
1916,28.06.2015 10:40:00,26.9324,
1917,28.06.2015 11:00:00,26.9311,
1918,28.06.2015 11:20:00,26.9261,
1919,28.06.2015 11:40:00,26.9159,
1920,28.06.2015 12:00:00,26.9134,
1921,28.06.2015 12:20:00,26.9006,
1922,28.06.2015 12:40:00,26.9074,
1923,28.06.2015 13:00:00,26.8934,3.674
1924,28.06.2015 13:20:00,26.88,
1925,28.06.2015 13:40:00,26.876,
1926,28.06.2015 14:00:00,26.8742,
1927,28.06.2015 14:20:00,26.86,
1928,28.06.2015 14:40:00,26.8548,
1929,28.06.2015 15:00:00,26.8398,
1930,28.06.2015 15:20:00,26.8375,
1931,28.06.2015 15:40:00,26.8372,
1932,28.06.2015 16:00:00,26.8323,
1933,28.06.2015 16:20:00,26.836,
1934,28.06.2015 16:40:00,26.8386,
1935,28.06.2015 17:00:00,26.8424,
1936,28.06.2015 17:20:00,26.847,
1937,28.06.2015 17:40:00,26.8527,
1938,28.06.2015 18:00:00,26.8638,
1939,28.06.2015 18:20:00,26.8775,
1940,28.06.2015 18:40:00,26.8924,
1941,28.06.2015 19:00:00,26.9011,
1942,28.06.2015 19:20:00,26.9184,
1943,28.06.2015 19:40:00,26.921,
1944,28.06.2015 20:00:00,26.9347,
1945,28.06.2015 20:20:00,26.9391,
1946,28.06.2015 20:40:00,26.9455,
1947,28.06.2015 21:00:00,26.9498,3.677
1948,28.06.2015 21:20:00,26.9553,
1949,28.06.2015 21:40:00,26.9695,
1950,28.06.2015 22:00:00,26.9919,
1951,28.06.2015 22:20:00,27.0095,
1952,28.06.2015 22:40:00,27.0065,
1953,28.06.2015 23:00:00,26.9739,
1954,28.06.2015 23:20:00,26.8882,
1955,28.06.2015 23:40:00,26.7353,
1956,29.06.2015 00:00:00,26.5733,
1957,29.06.2015 00:20:00,26.4134,
1958,29.06.2015 00:40:00,26.2174,
1959,29.06.2015 01:00:00,26.009,
1960,29.06.2015 01:20:00,25.8178,
1961,29.06.2015 01:40:00,25.623,
1962,29.06.2015 02:00:00,25.4168,
1963,29.06.2015 02:20:00,25.2233,
1964,29.06.2015 02:40:00,25.0414,
1965,29.06.2015 03:00:00,24.8554,
1966,29.06.2015 03:20:00,24.6715,
1967,29.06.2015 03:40:00,24.5069,
1968,29.06.2015 04:00:00,24.3219,
1969,29.06.2015 04:20:00,24.1495,
1970,29.06.2015 04:40:00,23.9819,
1971,29.06.2015 05:00:00,23.8309,3.67
1972,29.06.2015 05:20:00,23.6774,
1973,29.06.2015 05:40:00,23.5242,
1974,29.06.2015 06:00:00,23.3738,
1975,29.06.2015 06:20:00,23.2216,
1976,29.06.2015 06:40:00,23.079,
1977,29.06.2015 07:00:00,22.9402,
1978,29.06.2015 07:20:00,22.8018,
1979,29.06.2015 07:40:00,22.6669,
1980,29.06.2015 08:00:00,22.5277,
1981,29.06.2015 08:20:00,22.413,
1982,29.06.2015 08:40:00,22.2746,
1983,29.06.2015 09:00:00,22.1556,
1984,29.06.2015 09:20:00,22.0309,
1985,29.06.2015 09:40:00,21.9077,
1986,29.06.2015 10:00:00,21.7979,
1987,29.06.2015 10:20:00,21.6723,
1988,29.06.2015 10:40:00,21.5692,
1989,29.06.2015 11:00:00,21.4571,
1990,29.06.2015 11:20:00,21.3554,
1991,29.06.2015 11:40:00,21.2345,
1992,29.06.2015 12:00:00,21.1476,
1993,29.06.2015 12:20:00,21.0367,
1994,29.06.2015 12:40:00,20.9492,
1995,29.06.2015 13:00:00,20.856,3.657
1996,29.06.2015 13:20:00,20.7725,
1997,29.06.2015 13:40:00,20.6875,
1998,29.06.2015 14:00:00,20.6262,
1999,29.06.2015 14:20:00,20.577,
2000,29.06.2015 14:40:00,20.5716,
2001,29.06.2015 15:00:00,20.5786,
2002,29.06.2015 15:20:00,20.618,
2003,29.06.2015 15:40:00,20.6595,
2004,29.06.2015 16:00:00,20.7181,
2005,29.06.2015 16:20:00,20.7715,
2006,29.06.2015 16:40:00,20.8391,
2007,29.06.2015 17:00:00,20.8908,
2008,29.06.2015 17:20:00,20.9619,
2009,29.06.2015 17:40:00,21.0425,
2010,29.06.2015 18:00:00,21.1196,
2011,29.06.2015 18:20:00,21.182,
2012,29.06.2015 18:40:00,21.2834,
2013,29.06.2015 19:00:00,21.3822,
2014,29.06.2015 19:20:00,21.4997,
2015,29.06.2015 19:40:00,21.5758,
2016,29.06.2015 20:00:00,21.7065,
2017,29.06.2015 20:20:00,21.9126,
2018,29.06.2015 20:40:00,22.1541,
2019,29.06.2015 21:00:00,22.4185,3.659
2020,29.06.2015 21:20:00,22.8468,
2021,29.06.2015 21:40:00,23.2223,
2022,29.06.2015 22:00:00,23.5311,
2023,29.06.2015 22:20:00,23.7965,
2024,29.06.2015 22:40:00,24.0174,
2025,29.06.2015 23:00:00,24.1818,
2026,29.06.2015 23:20:00,24.3218,
2027,29.06.2015 23:40:00,24.4285,
2028,30.06.2015 00:00:00,24.529,
2029,30.06.2015 00:20:00,24.6254,
2030,30.06.2015 00:40:00,24.7188,
2031,30.06.2015 01:00:00,24.8258,
2032,30.06.2015 01:20:00,24.8976,
2033,30.06.2015 01:40:00,24.9685,
2034,30.06.2015 02:00:00,25.015,
2035,30.06.2015 02:20:00,25.0516,
2036,30.06.2015 02:40:00,25.061,
2037,30.06.2015 03:00:00,25.0395,
2038,30.06.2015 03:20:00,24.9894,
2039,30.06.2015 03:40:00,24.9133,
2040,30.06.2015 04:00:00,24.8195,
2041,30.06.2015 04:20:00,24.6982,
2042,30.06.2015 04:40:00,24.5683,
2043,30.06.2015 05:00:00,24.3883,3.668
2044,30.06.2015 05:20:00,24.1879,
2045,30.06.2015 05:40:00,23.973,
2046,30.06.2015 06:00:00,23.7331,
2047,30.06.2015 06:20:00,23.4849,
2048,30.06.2015 06:40:00,23.2066,
2049,30.06.2015 07:00:00,22.9299,
2050,30.06.2015 07:20:00,22.6326,
2051,30.06.2015 07:40:00,22.3269,
2052,30.06.2015 08:00:00,22.0196,
2053,30.06.2015 08:20:00,21.7016,
2054,30.06.2015 08:40:00,21.3908,
2055,30.06.2015 09:00:00,21.0896,
2056,30.06.2015 09:20:00,20.7875,
2057,30.06.2015 09:40:00,20.5004,
2058,30.06.2015 10:00:00,20.2077,
2059,30.06.2015 10:20:00,19.9279,
2060,30.06.2015 10:40:00,19.6493,
2061,30.06.2015 11:00:00,19.3734,
2062,30.06.2015 11:20:00,19.098,
2063,30.06.2015 11:40:00,18.8493,
2064,30.06.2015 12:00:00,18.635,
2065,30.06.2015 12:20:00,18.4178,
2066,30.06.2015 12:40:00,18.2327,
2067,30.06.2015 13:00:00,18.0578,3.646
2068,30.06.2015 13:20:00,17.9234,
2069,30.06.2015 13:40:00,17.8304,
2070,30.06.2015 14:00:00,17.8067,
2071,30.06.2015 14:20:00,17.9166,
2072,30.06.2015 14:40:00,18.1036,
2073,30.06.2015 15:00:00,18.3457,
2074,30.06.2015 15:20:00,18.584,
2075,30.06.2015 15:40:00,18.7801,
2076,30.06.2015 16:00:00,18.9679,
2077,30.06.2015 16:20:00,19.116,
2078,30.06.2015 16:40:00,19.2471,
2079,30.06.2015 17:00:00,19.3659,
2080,30.06.2015 17:20:00,19.5037,
2081,30.06.2015 17:40:00,19.6384,
2082,30.06.2015 18:00:00,19.7388,
2083,30.06.2015 18:20:00,19.8493,
2084,30.06.2015 18:40:00,19.9591,
2085,30.06.2015 19:00:00,20.0559,
2086,30.06.2015 19:20:00,20.1465,
2087,30.06.2015 19:40:00,20.2314,
2088,30.06.2015 20:00:00,20.3006,
2089,30.06.2015 20:20:00,20.3849,
2090,30.06.2015 20:40:00,20.4656,
2091,30.06.2015 21:00:00,20.5381,3.65
2092,30.06.2015 21:20:00,20.6226,
2093,30.06.2015 21:40:00,20.7,
2094,30.06.2015 22:00:00,20.7767,
2095,30.06.2015 22:20:00,20.8502,
2096,30.06.2015 22:40:00,20.9093,
2097,30.06.2015 23:00:00,20.9682,
2098,30.06.2015 23:20:00,21.0372,
2099,30.06.2015 23:40:00,21.1005,
2100,01.07.2015 00:00:00,21.1505,
2101,01.07.2015 00:20:00,21.1983,
2102,01.07.2015 00:40:00,21.2486,
2103,01.07.2015 01:00:00,21.2966,
2104,01.07.2015 01:20:00,21.3538,
2105,01.07.2015 01:40:00,21.3893,
2106,01.07.2015 02:00:00,21.4357,
2107,01.07.2015 02:20:00,21.4791,
2108,01.07.2015 02:40:00,21.4972,
2109,01.07.2015 03:00:00,21.52,
2110,01.07.2015 03:20:00,21.517,
2111,01.07.2015 03:40:00,21.5073,
2112,01.07.2015 04:00:00,21.473,
2113,01.07.2015 04:20:00,21.4373,
2114,01.07.2015 04:40:00,21.3947,
2115,01.07.2015 05:00:00,21.3547,3.653
2116,01.07.2015 05:20:00,21.2862,
2117,01.07.2015 05:40:00,21.2272,
2118,01.07.2015 06:00:00,21.1738,
2119,01.07.2015 06:20:00,21.1158,
2120,01.07.2015 06:40:00,21.0212,
2121,01.07.2015 07:00:00,20.9319,
2122,01.07.2015 07:20:00,20.8574,
2123,01.07.2015 07:40:00,20.7613,
2124,01.07.2015 08:00:00,20.662,
2125,01.07.2015 08:20:00,20.5615,
2126,01.07.2015 08:40:00,20.466,
2127,01.07.2015 09:00:00,20.3397,
2128,01.07.2015 09:20:00,20.234,
2129,01.07.2015 09:40:00,20.1113,
2130,01.07.2015 10:00:00,19.991,
2131,01.07.2015 10:20:00,19.8615,
2132,01.07.2015 10:40:00,19.7424,
2133,01.07.2015 11:00:00,19.6282,
2134,01.07.2015 11:20:00,19.4875,
2135,01.07.2015 11:40:00,19.3369,
2136,01.07.2015 12:00:00,19.2042,
2137,01.07.2015 12:20:00,19.0768,
2138,01.07.2015 12:40:00,18.9427,
2139,01.07.2015 13:00:00,18.8019,3.646
2140,01.07.2015 13:20:00,18.6944,
2141,01.07.2015 13:40:00,18.5823,
2142,01.07.2015 14:00:00,18.4786,
2143,01.07.2015 14:20:00,18.3716,
2144,01.07.2015 14:40:00,18.2647,
2145,01.07.2015 15:00:00,18.1732,
2146,01.07.2015 15:20:00,18.0783,
2147,01.07.2015 15:40:00,17.9707,
2148,01.07.2015 16:00:00,17.8916,
2149,01.07.2015 16:20:00,17.8049,
2150,01.07.2015 16:40:00,17.7334,
2151,01.07.2015 17:00:00,17.6441,
2152,01.07.2015 17:20:00,17.5685,
2153,01.07.2015 17:40:00,17.4987,
2154,01.07.2015 18:00:00,17.423,
2155,01.07.2015 18:20:00,17.361,
2156,01.07.2015 18:40:00,17.3049,
2157,01.07.2015 19:00:00,17.2366,
2158,01.07.2015 19:20:00,17.1984,
2159,01.07.2015 19:40:00,17.1688,
2160,01.07.2015 20:00:00,17.1497,
2161,01.07.2015 20:20:00,17.149,
2162,01.07.2015 20:40:00,17.1469,
2163,01.07.2015 21:00:00,17.1521,3.634
2164,01.07.2015 21:20:00,17.1671,
2165,01.07.2015 21:40:00,17.1822,
2166,01.07.2015 22:00:00,17.228,
2167,01.07.2015 22:20:00,17.2839,
2168,01.07.2015 22:40:00,17.3482,
2169,01.07.2015 23:00:00,17.4304,
2170,01.07.2015 23:20:00,17.5268,
2171,01.07.2015 23:40:00,17.6336,
2172,02.07.2015 00:00:00,17.7435,
2173,02.07.2015 00:20:00,17.864,
2174,02.07.2015 00:40:00,17.9584,
2175,02.07.2015 01:00:00,18.06,
2176,02.07.2015 01:20:00,18.1498,
2177,02.07.2015 01:40:00,18.2075,
2178,02.07.2015 02:00:00,18.2558,
2179,02.07.2015 02:20:00,18.2834,
2180,02.07.2015 02:40:00,18.3044,
2181,02.07.2015 03:00:00,18.316,
2182,02.07.2015 03:20:00,18.315,
2183,02.07.2015 03:40:00,18.3038,
2184,02.07.2015 04:00:00,18.2887,
2185,02.07.2015 04:20:00,18.2616,
2186,02.07.2015 04:40:00,18.234,
2187,02.07.2015 05:00:00,18.2021,3.638
2188,02.07.2015 05:20:00,18.1556,
2189,02.07.2015 05:40:00,18.1056,
2190,02.07.2015 06:00:00,18.0596,
2191,02.07.2015 06:20:00,17.9991,
2192,02.07.2015 06:40:00,17.9453,
2193,02.07.2015 07:00:00,17.8871,
2194,02.07.2015 07:20:00,17.8186,
2195,02.07.2015 07:40:00,17.7533,
2196,02.07.2015 08:00:00,17.6784,
2197,02.07.2015 08:20:00,17.6083,
2198,02.07.2015 08:40:00,17.5233,
2199,02.07.2015 09:00:00,17.4337,
2200,02.07.2015 09:20:00,17.3629,
2201,02.07.2015 09:40:00,17.2941,
2202,02.07.2015 10:00:00,17.2087,
2203,02.07.2015 10:20:00,17.1297,
2204,02.07.2015 10:40:00,17.0547,
2205,02.07.2015 11:00:00,16.9721,
2206,02.07.2015 11:20:00,16.8921,
2207,02.07.2015 11:40:00,16.8001,
2208,02.07.2015 12:00:00,16.7378,
2209,02.07.2015 12:20:00,16.6447,
2210,02.07.2015 12:40:00,16.5557,
2211,02.07.2015 13:00:00,16.4756,3.631
2212,02.07.2015 13:20:00,16.387,
2213,02.07.2015 13:40:00,16.3135,
2214,02.07.2015 14:00:00,16.2353,
2215,02.07.2015 14:20:00,16.1598,
2216,02.07.2015 14:40:00,16.0896,
2217,02.07.2015 15:00:00,16.0273,
2218,02.07.2015 15:20:00,15.9672,
2219,02.07.2015 15:40:00,15.9332,
2220,02.07.2015 16:00:00,15.8743,
2221,02.07.2015 16:20:00,15.8269,
2222,02.07.2015 16:40:00,15.7788,
2223,02.07.2015 17:00:00,15.7267,
2224,02.07.2015 17:20:00,15.6931,
2225,02.07.2015 17:40:00,15.667,
2226,02.07.2015 18:00:00,15.6415,
2227,02.07.2015 18:20:00,15.6116,
2228,02.07.2015 18:40:00,15.5901,
2229,02.07.2015 19:00:00,15.5775,
2230,02.07.2015 19:20:00,15.5615,
2231,02.07.2015 19:40:00,15.5601,
2232,02.07.2015 20:00:00,15.5593,
2233,02.07.2015 20:20:00,15.5706,
2234,02.07.2015 20:40:00,15.582,
2235,02.07.2015 21:00:00,15.606,3.62
2236,02.07.2015 21:20:00,15.6227,
2237,02.07.2015 21:40:00,15.6522,
2238,02.07.2015 22:00:00,15.6907,
2239,02.07.2015 22:20:00,15.7363,
2240,02.07.2015 22:40:00,15.798,
2241,02.07.2015 23:00:00,15.8476,
2242,02.07.2015 23:20:00,15.9115,
2243,02.07.2015 23:40:00,15.9516,
